AF_ID,Author_ID,Paper_ID,publication_affiliation,keywords in title bool,results
2.06E+02,38227501100,175811,"Lawrence Livemore National Laboratory, Livermore, CA, USA",FALSE,Private Corporation
2.07E+02,37390089900,175810,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",TRUE,Academic Institution
2.08E+02,37671093000,175810,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",TRUE,Academic Institution
2.09E+02,37078835600,175810,"Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA",TRUE,Academic Institution
2.10E+02,37374054100,175814,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",FALSE,Private Corporation
2.11E+02,37389499500,175814,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",FALSE,Private Corporation
2.12E+02,37280473500,175814,"Advanced Scientific Visualization Laboratory, San Diego Supercomputer Center",FALSE,Private Corporation
2.13E+02,37345924200,175816,"AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",FALSE,Private Corporation
2.14E+02,37381975300,175815,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",TRUE,Academic Institution
2.15E+02,37283016400,175815,"Department of Computer Science & Human-Computer Interaction Laboratory, University of Maryland, College Park, MD, USA",TRUE,Academic Institution
2.16E+02,38226914800,175820,"Computer Graphics and Interactive Media Research Group, Bell Communications Research, Inc.",FALSE,Private Corporation
2.17E+02,37282894500,175820,"Computer Graphics and Interactive Media Research Group, Bell Communications Research, Inc.",FALSE,Private Corporation
2.18E+02,37378493100,175819,"Harvard University, USA",TRUE,Academic Institution
2.19E+02,37390684200,175819,"Harvard University, USA",TRUE,Academic Institution
2.20E+02,37671059300,175819,Lockheed Advanced Computation Laboratory,FALSE,Private Corporation
2.21E+02,37271377200,175818,"Department of Theoretical & Applied Mechanics, Center for SuDercomDuting Research & DeveloDment, University of Illinois, Urbana-Champaign, Urbana, IL, USA",TRUE,Academic Institution
2.22E+02,37388593200,175818,"Thomas J. Watson Research Center, IBM, Corporation, Hawthorne, NY, USA",FALSE,Private Corporation
2.23E+02,37386981900,175818,"Thomas J. Watson Research Center, IBM, Corporation, Hawthorne, NY, USA",FALSE,Private Corporation
2.24E+02,37333439100,175821,"Department of Computer Science, Indiana University, Bloomington, IN, USA",TRUE,Academic Institution
2.25E+02,37283077400,175821,"Department of Computer Science, Indiana University, Bloomington, IN, USA",TRUE,Academic Institution
2.26E+02,37282753300,175824,"Institute for Visualizatioii and Perception Research, University of Lowell, Lowell, MA, USA",TRUE,Academic Institution
2.27E+02,38224353400,175824,"AGFA, Wilmington, MA, USA",FALSE,Private Corporation
2.28E+02,37567312900,175824,"Department of Computer Science, University of Oregon, Eugene, OR, USA",TRUE,Academic Institution
2.29E+02,37388066800,175824,"Division of Information Technology, CSIRO, Canberra, Australia",FALSE,Private Corporation
2.30E+02,38179868800,175823,"Swanson Analysis Systems, Inc., Houston, PA, USA",FALSE,Private Corporation
2.31E+02,37271377200,175823,"University of Illinois, USA",TRUE,Academic Institution
2.32E+02,38227450500,175823,"Visual Kinematics, Inc.",FALSE,Private Corporation
2.33E+02,38224713300,175823,"Centric, Inc.",FALSE,Private Corporation
2.34E+02,38224641300,175823,"Livermore Software Technology, Inc.",FALSE,Private Corporation
2.35E+02,38222078500,175823,Silicon Graphics Computer Systems,FALSE,Private Corporation
2.36E+02,38224561200,175830,"Division of Information Technology, CSIRO, Canberra, ACT, Australia",FALSE,Private Corporation
2.37E+02,37428175700,175832,"Johns Hopkins University, Laurel, MD, USA",TRUE,Academic Institution
2.38E+02,38221919700,175831,"Research Laboratories, Lockheed Palo Alto, Palo Alto, CA, USA",FALSE,Private Corporation
2.39E+02,38221920200,175831,"NASA Ames Research Center, Mountain View, CA, USA",FALSE,Private Corporation
